name,first,last
Merrill Kelly,Merrill,Kelly
Ryne Nelson,Ryne,Nelson
Eduardo Rodriguez,Eduardo,Rodriguez
Brandon Pfaadt,Brandon,Pfaadt
Michael Soroka,Michael,Soroka
Luis Severino,Luis,Severino
Jeffrey Springs,Jeffrey,Springs
Luis Morales,Luis,Morales
Jacob Lopez,Jacob,Lopez
Luis Medina,Luis,Medina
Chris Sale,Chris,Sale
Spencer Schwellenbach,Spencer,Schwellenbach
Spencer Strider,Spencer,Strider
Reynaldo Lopez,Reynaldo,Lopez
Hurston Waldrep,Hurston,Waldrep
Trevor Rogers,Trevor,Rogers
Kyle Bradish,Kyle,Bradish
Shane Baz,Shane,Baz
Dean Kremer,Dean,Kremer
Zach Eflin,Zach,Eflin
Garrett Crochet,Garrett,Crochet
Ranger Suárez,Ranger,Suárez
Sonny Gray,Sonny,Gray
Brayan Bello,Brayan,Bello
Johan Oviedo,Johan,Oviedo
Matthew Boyd,Matthew,Boyd
Edward Cabrera,Edward,Cabrera
Cade Horton,Cade,Horton
Shota Imanaga,Shota,Imanaga
Jameson Taillon,Jameson,Taillon
Shane Smith,Shane,Smith
Davis Martin,Davis,Martin
Sean Burke,Sean,Burke
Anthony Kay,Anthony,Kay
Sean Newcomb,Sean,Newcomb
Hunter Greene,Hunter,Greene
Andrew Abbott,Andrew,Abbott
Brady Singer,Brady,Singer
Nick Lodolo,Nick,Lodolo
Chase Burns,Chase,Burns
Gavin Williams,Gavin,Williams
Tanner Bibee,Tanner,Bibee
Slade Cecconi,Slade,Cecconi
Logan Allen,Logan,Allen
Joey Cantillo,Joey,Cantillo
Kyle Freeland,Kyle,Freeland
Michael Lorenzen,Michael,Lorenzen
Chase Dollander,Chase,Dollander
Tanner Gordon,Tanner,Gordon
Ryan Feltner,Ryan,Feltner
Tarik Skubal,Tarik,Skubal
Jack Flaherty,Jack,Flaherty
Casey Mize,Casey,Mize
Reese Olson,Reese,Olson
Drew Anderson,Drew,Anderson
Hunter Brown,Hunter,Brown
Christian Javier,Christian,Javier
Tatsuya Imai,Tatsuya,Imai
Lance McCullers Jr.,Lance,McCullers Jr.
Mike Burrows,Mike,Burrows
Ryan Weiss,Ryan,Weiss
Cole Ragans,Cole,Ragans
Michael Wacha,Michael,Wacha
Kris Bubic,Kris,Bubic
Seth Lugo,Seth,Lugo
Noah Cameron,Noah,Cameron
Yusei Kikuchi,Yusei,Kikuchi
José Soriano,José,Soriano
Reid Detmers,Reid,Detmers
Grayson Rodriguez,Grayson,Rodriguez
Alek Manoah,Alek,Manoah
Yoshinobu Yamamoto,Yoshinobu,Yamamoto
Blake Snell,Blake,Snell
Tyler Glasnow,Tyler,Glasnow
Shohei Ohtani,Shohei,Ohtani
Emmet Sheehan,Emmet,Sheehan
Roki Sasaki,Roki,Sasaki
Sandy Alcantara,Sandy,Alcantara
Eury Pérez,Eury,Pérez
Max Meyer,Max,Meyer
Braxton Garrett,Braxton,Garrett
Jameson Junk,Jameson,Junk
Brandon Woodruff,Brandon,Woodruff
Jacob Misiorowski,Jacob,Misiorowski
Quinn Priester,Quinn,Priester
Chad Patrick,Chad,Patrick
Logan Henderson,Logan,Henderson
Pablo López,Pablo,López
Joe Ryan,Joe,Ryan
Bailey Ober,Bailey,Ober
Simeon Woods Richardson,Simeon,Woods Richardson
Zebby Matthews,Zebby,Matthews
Taj Bradley,Taj,Bradley
Freddy Peralta,Freddy,Peralta
Nolan McLean,Nolan,McLean
David Peterson,David,Peterson
Clay Holmes,Clay,Holmes
Sean Manaea,Sean,Manaea
Kodai Senga,Kodai,Senga
Max Fried,Max,Fried
Cam Schlittler,Cam,Schlittler
Will Warren,Will,Warren
Ryan Weathers,Ryan,Weathers
Luis Gil,Luis,Gil
Cristopher Sánchez,Cristopher,Sánchez
Jesús Luzardo,Jesús,Luzardo
Aaron Nola,Aaron,Nola
Taijuan Walker,Taijuan,Walker
Andrew Painter,Andrew,Painter
Paul Skenes,Paul,Skenes
Mitch Keller,Mitch,Keller
Braxton Ashcraft,Braxton,Ashcraft
Bubba Chandler,Bubba,Chandler
Carmen Mlodzinski,Carmen,Mlodzinski
Michael King,Michael,King
Nick Pivetta,Nick,Pivetta
Joe Musgrove,Joe,Musgrove
Randy Vásquez,Randy,Vásquez
JP Sears,JP,Sears
Bryan Woo,Bryan,Woo
Logan Gilbert,Logan,Gilbert
Luis Castillo,Luis,Castillo
George Kirby,George,Kirby
Bryce Miller,Bryce,Miller
Logan Webb,Logan,Webb
Robbie Ray,Robbie,Ray
Tyler Mahle,Tyler,Mahle
Adrian Houser,Adrian,Houser
Landen Roupp,Landen,Roupp
Matthew Liberatore,Matthew,Liberatore
Dustin May,Dustin,May
Andre Pallante,Andre,Pallante
Michael McGreevy,Michael,McGreevy
Kyle Leahy,Kyle,Leahy
Drew Rasmussen,Drew,Rasmussen
Ryan Pepiot,Ryan,Pepiot
Shane McClanahan,Shane,McClanahan
Steve Matz,Steve,Matz
Joe Boyle,Joe,Boyle
Jacob deGrom,Jacob,deGrom
Nathan Eovaldi,Nathan,Eovaldi
MacKenzie Gore,MacKenzie,Gore
Jack Leiter,Jack,Leiter
Jacob Latz,Jacob,Latz
Kevin Gausman,Kevin,Gausman
Dylan Cease,Dylan,Cease
Shane Bieber,Shane,Bieber
Trey Yesavage,Trey,Yesavage
José Berríos,José,Berríos
Cody Ponce,Cody,Ponce
Cade Cavalli,Cade,Cavalli
Brad Lord,Brad,Lord
Jake Irvin,Jake,Irvin
Josiah Gray,Josiah,Gray
Foster Griffin,Foster,Griffin
